0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.22 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.23 29.8 30.0 30.0 29.8 30.3 30.0 30.0 30.0 30.0 23.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.24 50.0 50.7 50.0 50.0 60.0 60.0 53.3 53.0 50.0 40.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
0.25 70.0 80.0 73.3 70.6 90.0 89.8 80.0 80.2 70.2 63.7 0.0 20.0 10.0 0.0 0.0 10.0 10.0 10.0 0.0 0
0.26 99.6 110.0 102.5 100.3 124.5 120.0 110.0 111.0 99.5 90.3 0.0 49.9 30.2 10.0 20.0 30.4 30.0 26.2 19.9 0
0.27 127.8 140.3 138.9 134.3 160.4 158.5 142.4 148.7 126.2 120.3 9.1 78.9 60.0 32.2 40.2 60.6 60.0 50.0 40.0 0
0.28 157.5 178.5 170.0 170.0 200.2 191.5 179.7 180.2 155.3 154.5 20.0 110.0 88.9 60.0 70.0 99.4 90.0 71.2 60.3 0
0.29 189.1 210.3 210.0 207.5 240.5 230.0 211.3 219.6 187.5 189.8 40.0 140.4 117.6 90.0 100.0 130.3 120.0 100.5 90.0 10
0.3 220.0 250.0 247.3 243.6 283.3 270.0 250.0 255.1 219.9 221.4 63.1 180.0 149.4 120.2 130.0 170.0 151.3 132.7 120.0 20
0.31 244.9 280.4 280.0 280.0 323.3 308.1 281.6 289.9 241.8 251.9 90.0 212.3 180.0 154.9 160.0 210.0 190.0 169.1 150.0 30
0.32 261.5 301.9 308.0 306.1 353.3 332.5 306.7 310.1 260.4 275.4 116.1 250.0 210.0 189.9 190.5 249.6 220.3 200.0 180.0 50
0.33 270.2 318.1 320.4 320.8 373.0 350.0 320.0 326.0 268.2 293.9 140.0 286.1 241.3 220.0 225.7 289.4 259.5 230.8 210.0 60
0.34 277.5 329.7 340.0 339.9 383.7 359.3 331.8 337.0 272.7 308.0 170.0 320.0 279.4 252.0 260.0 329.4 290.9 268.6 240.0 80
0.35 284.3 331.9 351.7 357.5 394.0 364.4 340.0 342.2 280.7 315.2 200.0 339.6 300.0 289.6 290.1 359.4 320.0 290.0 270.0 100
0.36 282.8 337.9 357.6 361.8 401.8 370.4 344.6 349.0 280.8 319.6 226.0 342.0 311.1 310.0 305.7 379.0 332.8 306.5 280.2 110
0.37 283.1 340.3 361.1 365.8 407.8 371.3 347.6 342.4 283.0 320.1 242.0 351.1 319.6 319.8 319.8 388.8 340.0 320.0 291.5 130
0.38 282.6 333.5 367.3 369.3 409.4 376.5 345.2 349.2 280.7 320.3 260.0 357.9 321.1 329.6 320.5 390.0 346.6 329.6 303.7 150
0.39 280.5 338.3 360.9 366.5 409.5 372.1 349.2 340.6 275.2 318.2 270.0 360.5 324.0 330.0 327.8 399.1 350.1 339.0 308.1 160
0.4 277.5 330.8 362.7 366.8 406.8 370.0 347.4 342.7 271.9 317.7 276.9 360.0 330.4 334.1 330.1 399.4 358.2 337.8 309.5 160
0.41 280.7 333.1 369.1 369.9 407.5 371.6 349.6 340.1 279.0 318.1 280.0 364.9 330.0 335.1 331.2 399.4 351.0 339.6 310.0 170
0.42 282.4 337.9 364.7 371.4 410.6 375.3 352.6 345.4 279.9 316.3 283.2 361.3 332.3 330.4 338.4 399.8 359.7 340.1 310.0 170
0.43 282.5 334.1 369.7 371.5 414.1 374.1 352.8 344.0 281.6 319.8 285.9 364.0 338.6 337.6 334.7 400.0 355.5 345.2 310.0 180
0.44 283.9 337.2 369.9 370.2 415.7 371.9 354.9 343.0 285.4 320.3 282.5 369.2 330.8 338.0 335.0 400.0 359.4 341.4 310.3 170
0.45 286.3 339.2 370.1 371.5 416.0 376.0 354.5 347.6 284.6 321.0 280.4 363.1 335.7 331.9 339.8 400.0 359.5 343.2 311.7 170
0.46 287.8 338.6 370.1 373.3 413.8 379.0 355.6 341.4 282.8 320.6 284.0 368.4 338.7 339.7 336.8 400.0 359.1 347.3 315.0 180
0.47 288.8 339.3 370.0 371.5 412.6 378.7 357.4 348.7 282.4 325.2 288.9 369.9 332.5 338.2 338.4 400.0 360.1 341.6 317.1 180
0.48 288.0 343.0 370.8 370.9 414.3 378.3 356.2 340.9 284.7 323.4 290.0 367.4 339.6 337.4 340.4 400.0 360.6 349.0 315.8 180
0.49 287.0 340.4 370.5 375.5 417.4 380.9 358.8 348.8 287.5 321.4 290.0 369.9 338.9 340.0 339.1 400.0 360.9 341.2 311.9 170
