0.43 290 370 340 360 370 390 380 360 340 350 360 370 400 400 370 380 370 340 330 380 400 380 380 390 360 360 380 360 370 290
0.44 280 370 330 360 370 390 390 360 350 350 360 370 400 400 370 380 370 350 340 380 400 380 380 390 360 360 380 360 370 290
0.45 280 370 340 360 370 390 390 360 340 350 360 380 400 400 370 370 370 340 330 380 400 380 380 390 360 360 390 360 370 290
0.46 280 370 330 360 370 390 390 360 350 350 360 380 400 400 370 370 380 350 330 380 400 390 390 390 350 350 390 350 370 290
0.47 290 370 330 350 370 390 380 360 340 350 350 370 400 400 370 380 370 340 340 380 400 390 390 380 360 360 390 360 370 290
0.48 290 370 340 360 370 390 380 350 350 340 360 370 400 400 370 380 370 350 330 370 400 390 390 380 350 360 380 350 370 290
0.49 290 370 330 350 370 380 380 360 340 350 350 370 400 400 370 370 370 340 330 370 400 380 380 380 360 360 380 360 370 290
0.5 290 370 330 360 370 390 390 350 350 340 360 370 400 400 370 370 370 350 340 380 400 380 380 390 360 360 380 360 370 290
0.51 280 370 340 350 360 390 390 360 340 350 360 370 400 400 370 370 370 340 330 370 400 380 380 390 360 350 390 360 370 290
0.52 280 370 330 360 370 390 390 360 340 340 360 370 400 400 370 380 370 340 330 370 400 390 380 390 360 360 390 360 370 290
0.53 280 370 330 350 360 390 380 360 350 350 360 370 400 400 370 370 380 350 340 370 400 390 390 380 350 350 390 350 370 290
0.54 290 370 340 350 360 390 380 360 340 340 350 370 400 400 370 370 370 340 330 380 400 390 390 380 360 360 380 360 370 290
0.55 290 370 330 350 370 390 380 350 350 350 360 370 400 400 380 380 370 350 330 380 400 380 390 380 350 360 380 350 370 290
0.56 290 370 330 350 360 390 380 360 340 340 350 370 400 400 370 370 370 340 340 370 400 380 380 380 360 360 380 360 370 290
0.57 290 370 340 350 360 390 390 350 350 340 360 370 400 400 370 370 370 350 330 370 400 380 380 390 350 360 380 360 370 290
0.58 280 370 330 350 370 380 390 360 340 350 360 370 400 400 370 370 370 340 330 380 400 380 380 390 360 350 390 360 370 290
0.59 280 370 330 350 360 390 380 360 340 340 360 370 400 400 370 380 370 350 340 380 400 390 390 390 360 360 390 360 370 290
0.6 280 370 340 350 360 390 380 360 340 350 360 370 400 400 370 370 370 340 330 370 400 390 390 380 350 350 390 350 370 290
0.61 290 370 330 350 370 390 380 360 340 340 350 370 400 400 370 370 370 350 330 380 400 390 390 380 360 360 380 360 370 290
0.62 290 370 330 350 360 390 380 350 350 350 360 370 400 400 370 370 370 350 340 380 400 380 380 380 350 360 380 350 370 290
0.63 290 370 340 350 370 390 390 360 340 340 350 380 400 400 370 370 370 340 330 370 400 380 380 390 360 360 380 360 380 290
0.64 290 370 330 350 360 390 390 350 350 350 360 370 400 400 370 370 370 350 330 370 400 380 380 390 350 360 390 350 370 290
0.65 280 370 330 350 360 390 390 360 340 340 360 370 400 400 370 370 370 340 340 370 400 390 380 390 360 350 390 360 370 290
0.66 280 370 340 350 370 390 380 360 340 340 360 370 400 400 370 370 370 350 330 380 400 390 390 380 350 360 390 360 370 290
0.67 280 370 330 350 360 380 380 360 340 350 360 370 400 400 370 370 370 340 330 370 400 390 390 380 360 350 380 350 370 290
0.68 290 370 330 350 360 390 380 360 340 340 350 370 400 400 370 370 370 350 340 370 400 380 390 380 360 360 380 360 370 290
0.69 290 380 340 350 370 390 390 350 350 350 360 370 400 400 370 370 370 340 330 370 400 380 380 380 350 360 380 350 370 280
0.7 290 370 330 350 360 390 390 360 340 340 350 370 400 400 370 370 370 340 330 370 400 380 380 390 360 360 380 360 370 280
0.71 280 370 330 360 360 390 390 350 350 350 360 370 400 400 370 370 370 340 340 370 400 380 380 390 350 360 390 350 370 290
0.72 280 370 340 350 360 390 380 360 340 340 360 370 400 400 370 370 370 340 330 370 400 390 390 390 360 350 390 360 370 290
0.73 280 370 330 360 360 390 380 360 350 350 360 370 400 400 370 380 370 350 330 380 400 390 390 380 350 360 390 360 370 290
0.74 280 370 330 350 370 390 380 360 340 340 360 370 400 400 370 370 370 340 340 370 400 390 390 380 360 350 380 360 370 290
0.75 290 370 340 350 360 380 380 360 340 350 350 370 400 400 370 370 370 350 330 370 400 380 380 380 360 360 380 360 370 290
0.76 290 370 330 350 360 380 390 350 350 350 360 370 400 400 370 380 370 340 330 370 400 380 380 390 360 360 380 350 370 290
0.77 290 370 330 350 370 390 390 360 340 340 350 370 400 400 370 370 370 350 340 370 400 380 380 390 360 360 390 360 370 290
0.78 280 370 340 350 360 390 390 350 350 350 360 370 400 400 370 370 370 340 330 370 400 390 380 390 350 360 390 350 370 280
0.79 280 370 330 350 360 390 380 360 340 340 350 370 400 400 370 370 370 340 330 370 400 390 390 380 360 350 390 360 370 290
0.8 280 370 330 350 370 390 380 360 350 350 360 370 400 400 370 370 380 350 340 370 400 390 390 380 350 360 380 360 370 290
0.81 290 370 340 340 360 390 380 360 340 340 360 370 400 400 370 370 370 340 330 370 400 380 390 380 360 350 380 360 370 290
0.82 290 370 330 350 370 390 390 360 340 350 350 370 400 400 380 370 370 350 330 370 400 380 380 380 360 360 380 360 370 290
0.83 290 370 330 340 360 390 390 350 340 340 360 370 400 400 370 370 370 340 340 370 400 380 380 390 360 360 380 350 370 290
0.84 290 370 340 350 360 380 390 360 340 350 350 370 400 400 370 370 370 350 330 370 400 380 380 390 360 360 390 360 370 290
0.85 280 370 330 350 370 390 380 350 350 340 360 370 400 400 370 370 370 340 330 370 400 390 390 390 350 360 390 350 370 290
0.86 280 370 330 350 360 390 380 360 340 340 350 370 400 400 370 370 370 350 340 370 400 390 390 380 360 350 390 360 370 290
0.87 280 370 340 350 360 390 380 360 350 350 360 370 400 400 370 370 370 340 330 370 400 390 390 380 350 360 380 350 370 290
0.88 290 370 330 350 370 390 380 360 340 340 360 370 400 400 370 370 370 340 330 370 400 380 380 380 360 350 380 360 370 290
0.89 290 370 330 350 360 390 390 360 350 350 360 370 400 400 370 370 370 350 340 370 400 380 380 390 350 360 380 360 370 290
0.9 290 370 340 350 360 390 390 350 340 340 360 380 400 400 370 370 370 340 330 380 400 380 380 390 360 360 390 350 370 290
0.91 290 370 330 350 370 390 380 360 340 350 350 370 400 400 370 370 370 350 330 370 400 390 380 390 360 360 390 360 370 290
0.92 280 370 330 350 360 380 380 350 350 340 360 370 400 400 370 370 370 340 340 370 400 390 390 380 350 360 390 350 370 290
0.93 280 370 340 350 370 380 380 360 340 350 350 370 400 400 370 370 370 350 330 370 400 390 390 380 360 350 380 360 370 290
0.94 280 370 330 350 370 390 380 360 350 340 360 370 400 400 370 370 370 340 330 370 400 380 390 380 350 360 380 350 370 290
0.95 290 370 330 350 360 390 390 360 340 340 360 370 400 400 370 370 370 350 340 370 400 380 380 380 360 350 380 360 370 290
0.96 290 380 340 350 370 390 390 360 350 350 360 370 400 400 370 370 370 340 330 370 400 380 380 390 350 360 380 360 370 290
0.97 290 370 330 350 360 390 380 350 340 340 360 370 400 400 370 370 370 340 330 370 400 380 380 390 360 360 390 360 370 290
0.98 290 370 330 350 360 390 380 360 340 350 350 370 400 400 370 370 370 350 340 370 400 390 390 390 360 360 390 360 370 290
0.99 280 370 340 350 370 380 380 350 340 340 360 370 400 400 370 370 370 340 330 370 400 390 390 380 360 360 390 350 370 290
